,Unnamed: 0,app_id,app_name,review_id,language,review,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
534395,534396,240,Counter-Strike: Source,76632546,english,This is still the best Counter Strike I dont know why this one isnt free and day of defeat,1601173458,1601173458,True,0,0,0.0,0,True,False,False,76561198009690009,28,6,23451.0,0.0,23401.0,1605666755.0
535987,535988,240,Counter-Strike: Source,74580995,english,"Yes, yes, YES. I finally got the game for myself. I grinded a lot but I eventually bought it. Oh boy where should I start. Ah yes the...

1. Gameplay

This game is from 2004 and suprisingly the gameplay improved very much. Like a LOT. going from a very percise shots to more realistic shot was a big Improvement. Before I bought this game I did some research (unlike whit Dead by Daylike) and after looking at pros destroy pretty much everyone I decided It was something for me. The first game I played in the franchise was CS:GO(Counter Strike: Global Offensiv. Its free on steam so you can also try it out). I like it but my potato Laptop couldnt handle it very much. I then began researching about what other CS games are out there and then I came to the decision that I will buy Counter Strike: Source (CSS from now on). I liked the gameplay, the weapons, the graphics (especialy my laptop) and the physiks of this now almost 2 decade old game. 

2. Multiplayer
I always wanted to play competitivly on any game (exept Dead by Daylight) but my potatoe couldnt handle the Ultr4 g!Ga m3gA graphics. So since my life regret (Dead by Daylight) I began playing older games like Dark Souls, Bioshock, Fallout 3/NV, CS 1.6/CZ (Condition Zero) and many more games. The only ""weird"" thing about is that you can also grind achievments in offline mode (whit bots). Thats the only weird thing I found about this game. Now I may have 4 hours of playtime at the time I am writing this but I do know that this games is near perfection. There is no campain if your courius (just like in all the other CS games out there. I pointed this out just for those who are looking for a good CS game and not really knowing much about the franchise). I just grindid my way to a rare achievment whit players of course because, if you ply whit bots you will just get worse and worse. I learned that leason the hard way. Trust me on that one. So yeah. I currently have 32/147! achievments so I still got a lot to play. If your an achievment hunter, this is the game for you.

3. Community
Now I dont really like talking that much whit stangers online because I am an introvert ultra pro max. But there might be some arseholes on the game who might have had a rough day and just want to take it out on some newb or player. Those people are like playong since day 1 so they might get pissed of if they ever get killed or backstabed. Just ignore them.

Now enough writing. If you just skipped to this bit then your at the wrong place but if you want a short sentance about how I personally feel about the game then here it is: Hell yeah! Take my money you bastards. 
Now thank you for reading my review. Hope it helped you out. If it did then give me a thumbs up or just leave a quick comment on how you personally feel about this game or just let me know if this review helped you out. Oh yeah, and one more thing. The community on CSS is getting smaller (atleast here in the EU). So please, PLEASE support the creators and make this community alive again. I dont know who is going to read this in 2020 but here it is. Have yourself a nice day/night
Good bye",1597870419,1597870419,True,1,0,0.52173912525177,0,True,False,False,76561198879528823,20,6,376.0,0.0,247.0,1608767336.0
598980,598981,240,Counter-Strike: Source,22038758,german,Ein Top Spiel keine Frage jedoch ist die Steuerung etwas gewöhnungsbedürftig aber man passt sich schnell daran an.,1458898675,1458898675,True,1,2,0.5002251267433167,0,True,False,False,76561198275232150,9,2,529.0,0.0,180.0,1507835286.0
538135,538136,240,Counter-Strike: Source,72466802,polish,Polecam jeśli chce się wrócić do jednej ze starszych części counter strike'a.,1594425463,1594425463,True,2,0,0.54356849193573,0,True,False,False,76561198442309806,68,6,88.0,0.0,64.0,1594506474.0
599743,599744,240,Counter-Strike: Source,21531691,russian,eez gud,1456687771,1456687771,True,0,0,0.4724409580230713,0,False,False,False,76561198258010543,105,12,738.0,0.0,412.0,1522953622.0
527416,527417,240,Counter-Strike: Source,84359058,german,+,1610199282,1610199282,True,0,0,0.0,0,True,False,False,76561198313397337,70,30,889.0,228.0,660.0,1610648856.0
573599,573600,240,Counter-Strike: Source,44954257,russian,The best game ever.,1537990261,1537990261,True,15,4,0.6496807932853699,0,False,False,False,76561197961707079,1105,3,227844.0,0.0,226236.0,1543798060.0
570711,570712,240,Counter-Strike: Source,47818307,english,very god game better that csgo,1545775625,1545775625,True,0,0,0.0,0,True,False,False,76561198505673766,3,1,3261.0,0.0,563.0,1557575923.0
545008,545009,240,Counter-Strike: Source,66517646,german,NICE,1585934546,1585934546,True,0,0,0.0,0,True,False,False,76561198968657314,35,5,821.0,0.0,418.0,1606334535.0
547761,547762,240,Counter-Strike: Source,63738039,english,"Thank god for the community keeping this game alive.
Definately recommended!",1582053219,1582053219,True,1,1,0.523809552192688,0,True,False,False,76561198986147064,6,2,2660.0,0.0,2086.0,1582666851.0
545565,545566,240,Counter-Strike: Source,65966643,brazilian,bom esse jogo é um jogo muinto bom de tiro adorei por de fato os servidores de zombie e dos graficos do jogo adorei rodo no meu pc fraco.,1585347130,1585347130,True,0,0,0.0,0,True,False,False,76561198273062967,41,10,4375.0,172.0,3559.0,1610324500.0
538507,538508,240,Counter-Strike: Source,72228388,russian,гуд гейм но онлайн так себе,1594126576,1594126576,True,0,0,0.0,0,True,False,False,76561198864069994,51,31,560.0,0.0,94.0,1609073826.0
539602,539603,240,Counter-Strike: Source,71555253,russian,Игра просто Секс Особенно 1 крутой Сервер,1593334066,1593334066,True,0,1,0.0,0,False,False,False,76561198969216612,9,3,13800.0,2338.0,3652.0,1610952811.0
542377,542378,240,Counter-Strike: Source,68947907,english,Great for the oldschool vibes. Lots of servers with enough players (and bots) on them.,1589190896,1589190896,True,0,0,0.0,0,True,False,False,76561198059713715,55,4,1774.0,0.0,1592.0,1589378306.0
598857,598858,240,Counter-Strike: Source,22134316,english,"The Dying Prequel To Counter-Strike: Global Offensive. A Great Game But With Harder To Find Servers For Beginner Players... Be Sure To Play And Get Used To Counter-Strike: Global Offensive Before You Play This Games Servers, If Not You Will Die. Die Many Times...  This Game Has A Good Replay Value Because Of The Gun Game Servers!",1459302132,1459302132,True,0,0,0.0,0,False,False,False,76561198258528211,70,9,3764.0,0.0,865.0,1588990031.0
589730,589731,240,Counter-Strike: Source,29193921,english,i guess u could say this game is pretty AMAZSOURCE!!!!! XDDDXDXDXDDDXDXDXDXDDDDDD,1484180505,1484180505,True,2,1,0.4922168552875519,0,True,False,False,76561198324159332,204,66,4998.0,0.0,229.0,1577309212.0
599273,599274,240,Counter-Strike: Source,21844581,english,"This is going to be my first review of a game on my steam account, I will make all my reviews after I have invested at least 20 hours in a game. I will give my honest opinion.

So, CSS.  I picked this game up early in my gaming career when I started out playing games on a dell d630.  At the lowest settings this game looks about the same as cranking the graphics up to high.  Most of the hours I spent in this game was playing with bots on car rides and journeys. I enjoy the gunplay and the weapons are not as in depth compared to its bigger brother.  The maps are very well designed and I didnt find a single one I absolutely hated. What makes me like this game over its bigger brother is the lesser competitive feel. You can definitely tell that CSGO was designed from the ground up to be a highly competitive game.  However that is not what I look for in a game. I tend to focus on how much fun I have had with a game. Now it might be my nostalgia from playing this at 30fps at 480p but I still think this is the game to pick up if you are looking for a fun, brief round of shooty fun.",1458003505,1458003505,True,0,0,0.0,0,True,False,False,76561198094723838,678,11,1259.0,0.0,1149.0,1598896010.0
588510,588511,240,Counter-Strike: Source,29986547,french,boubaker :v,1487344997,1487344997,True,0,0,0.0,0,True,False,False,76561197983937578,34,1,6754.0,0.0,4700.0,1560607002.0
554771,554772,240,Counter-Strike: Source,58646494,russian,My love♥,1575068808,1575068808,True,1,0,0.5,0,True,False,False,76561198346540208,12,4,147.0,0.0,45.0,1606432711.0
563388,563389,240,Counter-Strike: Source,52554359,russian,"Очень интересная и увлекательная игра, если ищите замену Counter-Strike:Global Offensive, то это то что вы ищите.",1561922106,1561922106,True,1,1,0.523809552192688,0,False,False,False,76561198884478945,84,5,1326.0,0.0,467.0,1604512275.0
574059,574060,240,Counter-Strike: Source,44428663,russian,Мне осень осень понравилась игра.,1535476361,1535476361,True,1,0,0.523809552192688,0,True,False,False,76561198802165899,35,3,36668.0,53.0,8062.0,1610949059.0
