,Unnamed: 0,app_id,app_name,review_id,language,review,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
956766,956767,4000,Garry's Mod,77297826,italian,it's epic,1602270227,1602270227,True,0,0,0.0,0,True,False,False,76561199001173109,5,1,406.0,0.0,237.0,1605026731.0
927056,927057,4000,Garry's Mod,82485006,russian,z,1608110663,1608110663,True,0,0,0.0,0,True,False,False,76561198847848874,17,6,2265.0,0.0,352.0,1608886953.0
979941,979942,4000,Garry's Mod,74109539,english,Great game with or without friends. highly recommend,1597106692,1597106692,True,0,0,0.0,0,True,False,False,76561198295424809,9,1,41047.0,106.0,40859.0,1610951711.0
975303,975304,4000,Garry's Mod,74680087,english,fun with friends if you have them sadly i don't,1598034372,1598034372,True,1,0,0.523809552192688,0,True,False,False,76561198361637163,11,1,5272.0,0.0,4252.0,1605032680.0
987802,987803,4000,Garry's Mod,73200103,russian,игра прикольная много модов можно играть с друзьями,1595580722,1595580722,True,0,0,0.0,0,True,False,False,76561199033437252,9,3,16696.0,0.0,15768.0,1601704108.0
960963,960964,4000,Garry's Mod,76638128,schinese,特别好玩！！！模组很多。,1601183448,1601183448,True,0,0,0.4761904776096344,0,True,False,False,76561199077848742,23,13,983.0,0.0,478.0,1608548871.0
931781,931782,4000,Garry's Mod,81573518,russian,"Зайдешь поиграть на пару часов, вышел с серва через 2дня.
 Однозначно рекомендую.",1607066710,1607066710,True,0,0,0.0,0,True,False,False,76561198855703404,35,5,1417.0,0.0,1417.0,1593859337.0
940881,940882,4000,Garry's Mod,79526814,english,ees ok,1605822247,1605822247,True,0,0,0.0,0,True,False,False,76561198047626721,392,33,97014.0,159.0,96646.0,1611116603.0
963233,963234,4000,Garry's Mod,76289278,polish,kj,1600620646,1600620646,True,0,0,0.0,0,True,False,False,76561198130109011,40,9,18236.0,0.0,17872.0,1603828504.0
914595,914596,4000,Garry's Mod,84162733,spanish,buenardo,1609953429,1609953429,True,1,0,0.5199999809265137,0,True,False,False,76561198190464893,50,7,23195.0,349.0,22846.0,1610314019.0
918280,918281,4000,Garry's Mod,83681711,english,awesome!,1609451267,1609451267,True,0,0,0.0,0,True,False,False,76561198829332305,3,3,12494.0,70.0,12157.0,1611096938.0
988513,988514,4000,Garry's Mod,73124449,polish,"lol
",1595442226,1595442226,True,0,0,0.0,0,True,False,False,76561199021837646,33,3,6497.0,0.0,3986.0,1606987500.0
920511,920512,4000,Garry's Mod,83410364,spanish,"⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿ta bueno ⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⡿⢋⣩⣭⣶⣶⣮⣭⡙⠿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⠿⣋⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⡙⢿⣿⣿⣿
⣿⣿⣿⣿⣿⡃⠄⠹⡿⣿⣿⣿⣿⠟⠛⣿⣿⣿⣿⣷⡌⢿⣿⣿
⣿⣿⣿⣿⣿⠐⣠⡶⣶⣲⡎⢻⣿⣤⣴⣾⣿⣿⣿⣿⣿⠸⣿⣿
⣿⠟⣋⡥⡶⣞⡯⣟⣾⣺⢽⡧⣥⣭⣉⢻⣿⣿⣿⣿⣿⣆⢻⣿
⡃⣾⢯⢿⢽⣫⡯⣷⣳⢯⡯⠯⠷⠻⠞⣼⣿⣿⣿⣿⣿⣿⡌⣿
⣦⣍⡙⠫⠛⠕⣋⡓⠭⣡⢶⠗⣡⣶⡝⣿⣿⣿⣿⣿⣿⣿⣧⢹
⣿⣿⣿⣿⣿⣿⣘⣛⣋⣡⣵⣾⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⢸
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⢸
⣿⣿⣿⣿⣿compralo ⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⢸",1609180332,1609180332,True,0,1,0.0,0,True,False,False,76561199091487596,5,2,673.0,216.0,263.0,1610299081.0
913333,913334,4000,Garry's Mod,84317617,english,fun,1610142739,1610142739,True,1,0,0.523809552192688,0,True,False,False,76561198374980550,17,1,3861.0,0.0,3861.0,1601439015.0
976921,976922,4000,Garry's Mod,74484393,english,good,1597719221,1597719221,True,0,0,0.0,0,True,False,False,76561198989535786,11,9,850.0,0.0,671.0,1606602544.0
930099,930100,4000,Garry's Mod,81836838,dutch,n,1607434567,1607434567,True,0,0,0.0,0,False,False,False,76561198074338409,34,5,86123.0,352.0,85526.0,1611085175.0
931600,931601,4000,Garry's Mod,81605993,brazilian,"bom, não é exatamente um jogo, mas mesmo assim é bom.

Você Pode Fazer Qualquer Coisa Que Você Quiser Com Qualquer Jogo Que Foi Feito Em Source,
Essa É A Parte Legal.",1607104788,1607104788,True,0,0,0.0,0,True,False,False,76561198999677945,6,2,11935.0,799.0,7344.0,1610922546.0
925648,925649,4000,Garry's Mod,82714099,french,C'est bien,1608411765,1608411765,True,0,0,0.0,0,True,False,False,76561198416968477,21,2,17712.0,780.0,15196.0,1611085525.0
