,Unnamed: 0,app_id,app_name,review_id,language,review,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
694010,694011,620,Portal 2,74441755,english,EYYAAH,1597644619,1597644619,True,0,0,0.0,0,True,False,False,76561198126548747,72,5,6437.0,0.0,6437.0,1589331384.0
670571,670572,620,Portal 2,84116740,brazilian,Apenas jogue,1609898353,1609898353,True,0,0,0.0,0,True,False,False,76561198969061820,31,2,671.0,667.0,671.0,1609897845.0
690876,690877,620,Portal 2,75755423,german,"Das ist einer der besten spiele der Welt.

Grafik:
7/10

Story (von teil 1/2):
9/10

Game Play:
10/10


Dieser Review ist meine personliche meinung und wenn ihr eine andere meinung hat respektiere ich das",1599756642,1599756642,True,0,0,0.0,0,False,False,False,76561198832259298,28,4,2751.0,676.0,618.0,1610626197.0
692344,692345,620,Portal 2,75128166,english,very fun game would play again (Which I have) I recommend it to you and whoever says it's bad is just bad at the game,1598731732,1598731732,True,0,0,0.0,0,True,False,False,76561198936479847,11,2,2680.0,7.0,2388.0,1610743035.0
679311,679312,620,Portal 2,81319746,english,"This game is fantastic. The puzzles are engaging and the community is great for extra fun. If you don't already know the base concept, then you've been living under a rock.",1606796143,1606796143,True,0,0,0.0,0,True,False,False,76561198212065300,13,1,3533.0,0.0,3516.0,1607268499.0
684394,684395,620,Portal 2,78827636,dutch,e,1604678072,1604678072,True,0,0,0.0,0,False,False,False,76561198073454535,91,10,4702.0,0.0,4560.0,1604701839.0
689038,689039,620,Portal 2,76660624,english,:),1601217574,1601217574,True,0,0,0.0,0,True,False,False,76561198827801069,19,9,671.0,0.0,671.0,1600787240.0
697045,697046,620,Portal 2,73294994,english,"When life gives you lemons, don't make lemonade! Make life take the lemons back! Get mad! I don't want your damn lemons! What am i supposed to do with these! Demand to see life's manager! Make life rue the day it thought it could give Cave Johnson lemons! Do you know who I am? I'm the man whose gonna burn your house down with lemons!",1595742559,1595742559,True,0,0,0.0,0,True,False,False,76561198881002362,28,8,890.0,148.0,370.0,1610052805.0
678568,678569,620,Portal 2,81536413,english,Good,1607015189,1607015189,True,0,0,0.0,0,True,False,False,76561199074694536,44,5,917.0,0.0,257.0,1607201582.0
693302,693303,620,Portal 2,74744245,english,HOLY SHIT,1598128670,1598128670,True,0,0,0.0,0,True,False,False,76561198325413239,23,3,543.0,0.0,543.0,1577848462.0
684164,684165,620,Portal 2,78901458,english,its pog,1604779787,1604779787,True,1,0,0.523809552192688,0,True,False,False,76561198303319076,15,1,748.0,0.0,221.0,1605303267.0
676293,676294,620,Portal 2,82482364,schinese,G胖啥时候数3？,1608106895,1608106895,True,0,0,0.0,0,True,False,False,76561198253240047,81,16,1462.0,0.0,1462.0,1605319144.0
673479,673480,620,Portal 2,83403397,portuguese,fun,1609174786,1609174786,True,0,0,0.0,0,True,False,False,76561198113871433,155,18,1383.0,0.0,1297.0,1609201937.0
690471,690472,620,Portal 2,75925558,english,a bit disorenting,1600026529,1600026529,True,0,0,0.0,0,True,False,False,76561198960319804,15,4,512.0,0.0,397.0,1600538303.0
683147,683148,620,Portal 2,79297282,german,alles,1605431944,1605431944,True,0,0,0.0,0,True,False,False,76561198074006475,368,14,363.0,0.0,362.0,1605431966.0
671101,671102,620,Portal 2,83992356,russian,Хорошая игра для одиночного прохождения или для кооператива,1609770843,1609770843,True,0,0,0.0,0,True,False,False,76561198966019844,13,1,1083.0,1016.0,720.0,1610731754.0
680685,680686,620,Portal 2,80744709,russian,Normalnaya igra,1606519009,1606519009,True,0,0,0.0,0,False,False,False,76561199084754009,1,2,38.0,0.0,38.0,1605122112.0
693984,693985,620,Portal 2,74454704,russian,"GLaDOS ван лав.....
Игра супер...
Рекомендую",1597667855,1597667855,True,0,0,0.0,0,True,False,False,76561198285211240,77,7,6273.0,19.0,5995.0,1610192244.0
683074,683075,620,Portal 2,79324862,english,It is a really good game and that is all I can really tink of saying,1605470231,1605470231,True,0,0,0.4761904776096344,0,True,False,False,76561199078620749,6,3,1127.0,0.0,1072.0,1605473563.0
672934,672935,620,Portal 2,83536374,koreana,ㅗ,1609301734,1609301734,False,0,0,0.0,0,True,False,False,76561198306274199,54,6,1060.0,0.0,961.0,1609308337.0
672102,672103,620,Portal 2,83728559,spanish,Buenazi,1609508085,1609508085,True,0,0,0.0,0,True,False,False,76561198151955731,16,10,407.0,0.0,407.0,1609507850.0
671678,671679,620,Portal 2,83839503,english,nice game. harder and longer than portal 1. would recommend you play portal first.,1609614780,1609614780,True,1,0,0.523809552192688,0,False,True,False,76561199085070108,11,6,873.0,741.0,289.0,1609956919.0
675637,675638,620,Portal 2,82774421,brazilian,"O jogo tem gráficos impecáveis (levando em consideração que é um jogo antigo), funciona em qualquer maquina. E seu modo cooperativo é muito divertido, recomendo pra joga-lo com seus amigos. A unica critica que tenho ao jogo são os mapas da comunidade, é muito difícil encontrar algum mapa que seja possível termina-lo. Mas em geral o jogo é muito bom, recomendo à todos.",1608486214,1608486214,True,0,0,0.0,0,True,False,False,76561198988581629,10,3,1908.0,116.0,1528.0,1610579127.0
687801,687802,620,Portal 2,77347357,czech,8,1602348121,1602348121,True,0,0,0.0,0,True,False,False,76561198087859400,48,4,980.0,0.0,948.0,1602353601.0
698640,698641,620,Portal 2,72827483,koreana,"이 게임은 추천할 필요가 없음
포탈 1 했으면 이것도 바로 하게 되어 있음",1594970028,1594970028,True,0,0,0.0,0,True,False,False,76561198114540095,98,43,378.0,0.0,378.0,1562168912.0
697510,697511,620,Portal 2,73148505,koreana,"스토리와 그래픽이 매우 좋음, 하지만 한가지 단점이라고 하면 밝기 조절이 없다는 것.",1595487081,1595487081,True,0,0,0.0,0,True,False,False,76561198845058317,23,8,675.0,0.0,511.0,1598321208.0
682963,682964,620,Portal 2,79371196,russian,четко,1605554860,1605554860,True,0,0,0.0,0,True,False,False,76561198122036053,52,1,351.0,0.0,351.0,1605554834.0
688275,688276,620,Portal 2,77077610,english,haha portal go brr,1601904606,1601904606,True,0,0,0.0,0,True,False,False,76561198113314976,26,8,698.0,0.0,253.0,1604215687.0
694574,694575,620,Portal 2,74208790,spanish,si,1597268756,1597268756,True,0,0,0.0,0,True,False,False,76561199049807655,41,5,679.0,0.0,401.0,1598945714.0
679982,679983,620,Portal 2,81065155,english,"10/10, easily in my top10 games",1606659704,1606659887,True,0,0,0.0,0,True,False,False,76561198858904797,9,4,1164.0,0.0,776.0,1608058295.0
681465,681466,620,Portal 2,80272772,russian,Перепроходил ее несколько раз. Каждый раз - как в первый! Советую всем любителям тонкого юмора и головоломок,1606392682,1606392682,True,0,0,0.0,0,True,False,False,76561198072492769,218,5,1062.0,0.0,1061.0,1606603289.0
699083,699084,620,Portal 2,72719143,english,The game is funny and puts your mind to work.,1594799364,1594799364,True,0,0,0.0,0,True,False,False,76561198154491076,252,22,484.0,0.0,394.0,1595309003.0
674790,674791,620,Portal 2,83062754,brazilian,jogo legal :),1608839047,1608839047,True,0,0,0.0,0,False,True,False,76561199038008502,6,2,897.0,11.0,531.0,1609978640.0
697910,697911,620,Portal 2,73024908,english,good,1595288996,1595288996,True,0,0,0.0,0,True,False,False,76561199061226579,15,3,1094.0,0.0,839.0,1601649497.0
676596,676597,620,Portal 2,82331726,turkish,beyin yakan guzel bir oyun,1607935942,1607935942,True,0,0,0.0,0,True,False,False,76561199012929989,9,5,592.0,73.0,302.0,1610315540.0
688695,688696,620,Portal 2,76836692,english,"The word 'Awesome' doesn't describe how wonderful this game is, THE BEST GAME EVER!!",1601510302,1601510351,True,0,0,0.0,0,True,False,False,76561198351505666,26,3,1724.0,0.0,814.0,1608100089.0
685984,685985,620,Portal 2,78285960,german,Cooles Konzept und extrem gut gealtert,1603890666,1603890666,True,0,0,0.0,0,True,False,False,76561198843390251,27,2,552.0,0.0,552.0,1603890300.0
688730,688731,620,Portal 2,76817528,czech,"very nice gameska :)
",1601481100,1601481100,True,1,0,0.523809552192688,0,False,True,False,76561198995864822,16,6,579.0,0.0,522.0,1606513836.0
683314,683315,620,Portal 2,79228912,english,"its good
",1605320545,1605320545,True,0,0,0.0,0,True,False,False,76561198880994426,39,2,725.0,0.0,637.0,1605325690.0
689485,689486,620,Portal 2,76425263,russian,понравилась,1600865489,1600865489,True,0,0,0.0,0,True,False,False,76561198362453274,11,1,991.0,0.0,991.0,1600864900.0
676866,676867,620,Portal 2,82205438,english,Good Game,1607801015,1607801015,True,0,0,0.0,0,True,False,False,76561198085145356,158,77,1099.0,0.0,526.0,1608779929.0
696842,696843,620,Portal 2,73364477,english,amazing story,1595865561,1595865561,True,0,0,0.0,0,True,False,False,76561198278989019,18,11,347.0,0.0,341.0,1606681613.0
687435,687436,620,Portal 2,77535554,turkish,bu oyun oldukça kanserdir. Bulmacaları oldukça zor olmasıyla birlikte keyifli bir oyundur bir oturuşta bitirmeye çalışmayın bulmacaları seven arkadaşlara tavsiyem,1602661069,1602661069,True,0,0,0.0,0,True,False,False,76561198435421627,52,22,371.0,0.0,371.0,1594644615.0
675527,675528,620,Portal 2,82814587,russian,каепнртолд,1608546655,1608546655,True,1,0,0.5,0,False,False,False,76561199077641937,2,4,1154.0,135.0,763.0,1610529539.0
693661,693662,620,Portal 2,74581608,spanish,"me he pasado portal 2 en 4/5/6 horas, me he rallado un poco pero bueno, fácil",1597871319,1597871319,True,0,0,0.0,0,True,False,False,76561199032093965,4,3,3057.0,61.0,477.0,1609680815.0
699784,699785,620,Portal 2,72555566,russian,:),1594550702,1594550702,True,0,0,0.0,0,True,False,False,76561199007025470,8,1,462.0,0.0,462.0,1594550635.0
673090,673091,620,Portal 2,83499930,brazilian,JOGO FODA DMS SLKK SOLO EH MT FODA COM AMG EH ENGRAÇADO E MELHOR AINDA PEGA NA PROMO Q VALE MT FODA DMS SLKK,1609267312,1609267312,True,0,0,0.0,0,False,False,False,76561198354365471,17,10,500.0,0.0,500.0,1596306392.0
685704,685705,620,Portal 2,78432111,russian,9/10,1604107769,1604107769,True,0,0,0.0,0,True,False,False,76561198982954076,51,8,287.0,0.0,287.0,1589096727.0
671346,671347,620,Portal 2,83931421,turkish,play if you have a brain,1609703205,1609703205,True,0,0,0.0,0,True,False,False,76561199005271764,47,3,335.0,270.0,199.0,1610565474.0
683505,683506,620,Portal 2,79159357,english,fun game is kind of replayable but dont like playing coop without friends,1605202982,1605202982,True,0,0,0.0,0,True,False,False,76561199049308463,5,1,3183.0,0.0,2817.0,1608908571.0
679699,679700,620,Portal 2,81172375,turkish,Portal işte,1606715463,1606715463,True,0,0,0.0,0,True,False,False,76561198961609627,79,9,353.0,0.0,265.0,1606912250.0
683206,683207,620,Portal 2,79271419,russian,"Купил Portal и Portal 2 комплектом, проходя 1ю часть за пару часов и не почувствовал сложности и растроился, подумал что деньги просрал зря и пошел во 2й портал... последний раз мне так жопу рвали только в героях 5 на асе и Dark Souls.
11 сломанных психик из 5
Крайне рекомендую!",1605386820,1605386820,True,0,0,0.0,0,True,False,False,76561198374282168,42,6,645.0,0.0,505.0,1607443459.0
699470,699471,620,Portal 2,72628419,english,this is a great game and i think other people should enjoy it too,1594657503,1594657503,True,0,0,0.0,0,True,False,False,76561199042709994,3,2,10988.0,371.0,9594.0,1610149155.0
688430,688431,620,Portal 2,76988463,english,Cake,1601757343,1601757343,True,0,1,0.0,0,True,False,False,76561198155550980,39,3,383.0,0.0,222.0,1602533268.0
674073,674074,620,Portal 2,83248619,english,this portal 2 game is the best!!!!!!!,1609028200,1609028200,True,0,0,0.0,0,True,False,False,76561198883693474,3,1,11184.0,975.0,9817.0,1610072260.0
669826,669827,620,Portal 2,84311039,spanish,"Un juego muy entretenido, tanto solo, como multijugador online como multijugador en el mismo PC, solo 2 personas eso si, retos que progresan en dificultad obligando a ser creativo y analítico de situaciones variadas, graficos aceptables para su época, narrativa muy buena y entretenida que te saca risas, el juego esta perfecto para su precio y lo recomiendo mucho para los que le gustan los puzles pero con un toque de humor y dificultad (si se juega entre 2 sale perfecto).",1610135634,1610135634,True,0,0,0.0,0,True,False,False,76561198076547592,15,8,548.0,548.0,436.0,1610170332.0
698554,698555,620,Portal 2,72852471,english,varmaa paras peli mitä oon pelannu B),1595007894,1595007894,True,1,0,0.523809552192688,0,False,False,False,76561198203934459,40,9,1854.0,0.0,1842.0,1595365706.0
689140,689141,620,Portal 2,76618991,portuguese,"Muito Bom!
O tempo não envelhece esse jogo!",1601152624,1601152624,True,0,0,0.0,0,True,False,False,76561197991068667,109,3,1326.0,0.0,1326.0,1601146966.0
684492,684493,620,Portal 2,78789379,german,ja,1604614203,1604614203,True,0,0,0.0,0,True,False,False,76561198389507707,18,10,185.0,0.0,185.0,1604614144.0
676440,676441,620,Portal 2,82418777,koreana,퍼즐 레벨 디자인의 완벽한 롤모델. 거기다 매력적인 캐릭터 디자인과 연출은 덤. 인생 명작 중 하나.,1608028687,1608028687,True,0,0,0.0,0,False,False,False,76561198147187346,98,3,1815.0,0.0,884.0,1608902379.0
692418,692419,620,Portal 2,75096893,english,great game,1598686133,1598686133,True,0,0,0.0,0,True,False,False,76561198974635296,38,2,359.0,0.0,359.0,1598686016.0
692294,692295,620,Portal 2,75147291,english,An OG gamee thats truly a masterpiece that'll never get old. An absolute gem of a game,1598764355,1598764355,True,0,0,0.0,0,True,False,False,76561199028480609,17,4,921.0,0.0,596.0,1602891113.0
680994,680995,620,Portal 2,80585383,russian,Нравится),1606472716,1606472716,True,0,0,0.0,0,True,False,False,76561199098898046,3,2,803.0,51.0,739.0,1610718380.0
686027,686028,620,Portal 2,78260338,english,"it was good
",1603840196,1603840196,True,0,0,0.0,0,True,False,False,76561199074058582,10,4,601.0,0.0,299.0,1604364893.0
668753,668754,620,Portal 2,84606505,russian,"Интересная и отличная игра, самое главное не дорогая и есть мультиплеер, а возможность создания карт не только через встроенный редактор, а и через Hammer, даёт большой простор фантазиям.",1610537042,1610537042,True,0,0,0.0,0,True,False,False,76561198381428742,43,19,2477.0,336.0,2440.0,1610551203.0
668787,668788,620,Portal 2,84596359,english,"I love the sound design, the story, the gameplay, everything about this game is fantastic.",1610520884,1610520884,True,0,0,0.0,0,True,False,False,76561198353834520,6,1,442.0,92.0,349.0,1610604065.0
692478,692479,620,Portal 2,75067894,english,nice puzzle and brain training :D,1598637767,1598637767,True,0,0,0.0,0,True,False,False,76561198437027979,7,2,2074.0,0.0,1626.0,1598664587.0
