,Unnamed: 0,app_id,app_name,review_id,language,review,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
75721,75721,292030,The Witcher 3: Wild Hunt,73129320,german,einfach gut,1595449722,1595449722,True,0,0,0.0,0,True,False,False,76561198103727675,12,2,18426.0,0.0,15076.0,1598440067.0
80184,80184,292030,The Witcher 3: Wild Hunt,72466032,brazilian,Toop demais!!!,1594424131,1594424131,True,0,0,0.0,0,True,False,False,76561198802799887,3,1,16556.0,0.0,10309.0,1610075593.0
19864,19864,292030,The Witcher 3: Wild Hunt,82237091,english,Overrated,1607832788,1607832788,False,2,1,0.4115568399429321,0,True,False,False,76561198060198272,52,22,89.0,0.0,89.0,1541830539.0
76699,76699,292030,The Witcher 3: Wild Hunt,72975121,english,do it,1595203489,1595203489,True,0,0,0.0,0,True,False,False,76561199064738865,50,1,484.0,0.0,453.0,1598637154.0
92991,92991,292030,The Witcher 3: Wild Hunt,70659516,schinese,以前盗版通关过，打折了入正版来二周目，真滴好玩,1591936834,1591936834,True,0,0,0.0,0,True,False,False,76561198157424170,46,8,3011.0,0.0,669.0,1593148123.0
76434,76434,292030,The Witcher 3: Wild Hunt,73009845,schinese,爽爽爽,1595264597,1595264597,True,0,0,0.0,0,True,False,False,76561198105451088,35,6,3961.0,0.0,682.0,1597660245.0
84004,84004,292030,The Witcher 3: Wild Hunt,71980592,english,underrated.,1593816513,1593816513,True,0,0,0.0,0,True,False,False,76561198087316222,233,28,13073.0,149.0,9656.0,1611093745.0
80917,80917,292030,The Witcher 3: Wild Hunt,72359987,polish,git,1594295524,1594295524,True,0,0,0.0,0,True,False,False,76561198423203954,11,2,12899.0,0.0,416.0,1602952021.0
60767,60767,292030,The Witcher 3: Wild Hunt,75606015,schinese,牛逼,1599498454,1599498454,True,0,1,0.0,0,True,False,False,76561198318621757,17,1,2443.0,0.0,1972.0,1599996607.0
50074,50074,292030,The Witcher 3: Wild Hunt,77534519,polish,"jest     najlepsza   na  wolny  czas
",1602658714,1602658714,True,0,0,0.0,0,True,False,False,76561199049784770,24,1,2834.0,471.0,575.0,1610298370.0
